               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089412,            0.022341,            0.021319,             0.63197,             0.40636,             0.22985,             0.07064,            0.064967,            0.013084,            0.016745,            0.070395,           0.0032895,           0.0032895
                   1,            0.065539,            0.016899,            0.011958,             0.81801,             0.30256,             0.29441,              0.1205,            0.059207,             0.00922,            0.010114,            0.040132,           0.0063605,           0.0063605
                   2,            0.061763,            0.013639,           0.0095358,             0.75493,             0.27032,             0.24993,            0.086229,            0.061843,            0.007774,           0.0086076,           0.0096062,           0.0091676,           0.0091676
                   3,            0.057455,            0.013028,           0.0082038,             0.86794,             0.31095,              0.3582,             0.16517,            0.057798,           0.0064712,           0.0081159,            0.008812,            0.008812,            0.008812
                   4,            0.053183,            0.011193,           0.0076914,             0.85973,             0.36701,             0.46913,             0.17004,            0.051457,           0.0069119,           0.0072254,            0.008812,            0.008812,            0.008812
                   5,            0.051053,             0.01066,           0.0065053,             0.44827,             0.56886,             0.50348,             0.23199,            0.054382,           0.0060274,           0.0064771,            0.008416,            0.008416,            0.008416
                   6,            0.049411,            0.010557,           0.0065733,             0.53909,             0.54804,              0.4698,             0.21333,            0.049803,           0.0061596,           0.0072303,             0.00802,             0.00802,             0.00802
                   7,            0.046134,            0.010164,           0.0059614,             0.52437,              0.5777,             0.51435,             0.27193,             0.04594,           0.0055846,           0.0061322,            0.007624,            0.007624,            0.007624
                   8,            0.045364,           0.0096967,           0.0062124,             0.58101,             0.55974,             0.53313,             0.25566,            0.046155,            0.007505,           0.0058473,            0.007228,            0.007228,            0.007228
                   9,            0.042927,           0.0089506,           0.0054274,             0.62894,               0.651,             0.61419,             0.29318,            0.044579,           0.0054503,           0.0056809,            0.006832,            0.006832,            0.006832
                  10,             0.04394,            0.009267,           0.0045911,             0.62363,             0.58608,             0.58152,              0.2788,            0.047887,           0.0053788,           0.0052315,            0.006436,            0.006436,            0.006436
                  11,            0.042141,           0.0093462,            0.004453,             0.64474,             0.63054,              0.6339,             0.31147,            0.043371,           0.0052444,           0.0052918,             0.00604,             0.00604,             0.00604
                  12,            0.040129,           0.0088887,           0.0043305,             0.67215,             0.58255,              0.6244,             0.31664,            0.044102,           0.0052414,           0.0052227,            0.005644,            0.005644,            0.005644
                  13,            0.040377,           0.0087219,           0.0050933,             0.68535,              0.6434,             0.63039,              0.3195,             0.04289,           0.0051066,           0.0044656,            0.005248,            0.005248,            0.005248
                  14,            0.038302,           0.0086232,           0.0041645,             0.65843,             0.59315,             0.60506,             0.32247,            0.042473,           0.0050573,           0.0044851,            0.004852,            0.004852,            0.004852
                  15,            0.039437,           0.0087575,            0.004247,             0.75759,             0.57901,             0.63738,              0.2897,            0.045438,            0.005061,           0.0055126,            0.004456,            0.004456,            0.004456
                  16,            0.037754,           0.0084547,           0.0042719,             0.72883,             0.61538,              0.6611,             0.35827,            0.042653,           0.0049543,           0.0046921,             0.00406,             0.00406,             0.00406
                  17,            0.036224,            0.008231,           0.0038611,             0.68879,             0.65761,             0.66097,              0.3526,            0.042523,           0.0050229,           0.0044834,            0.003664,            0.003664,            0.003664
                  18,            0.035452,           0.0078168,           0.0030886,             0.75296,             0.63617,              0.6755,             0.36584,            0.041386,           0.0050259,           0.0047786,            0.003268,            0.003268,            0.003268
                  19,             0.03505,           0.0080616,           0.0036756,             0.63947,             0.66222,             0.65648,             0.32693,            0.043583,           0.0051033,           0.0045479,            0.002872,            0.002872,            0.002872
                  20,            0.033875,           0.0073065,           0.0038575,             0.74135,             0.65379,             0.68265,             0.36428,            0.041214,           0.0047873,            0.004231,            0.002476,            0.002476,            0.002476
                  21,            0.033462,           0.0075419,           0.0031501,             0.69269,             0.68844,             0.68593,             0.36804,            0.040685,           0.0049991,           0.0046211,             0.00208,             0.00208,             0.00208
                  22,            0.033235,           0.0072616,           0.0034175,             0.76337,             0.62199,              0.6689,             0.35802,            0.040607,           0.0049334,           0.0047681,            0.001684,            0.001684,            0.001684
                  23,            0.032203,           0.0074749,           0.0034454,             0.76445,             0.63436,             0.67685,               0.367,            0.040594,           0.0047639,           0.0046611,            0.001288,            0.001288,            0.001288
                  24,            0.032433,           0.0075044,           0.0032471,             0.74112,             0.63808,             0.68156,             0.37179,            0.040266,            0.004776,           0.0045966,            0.000892,            0.000892,            0.000892
